   USER32.dll   
   ÐòÊý  µØÖ·          Ãû³Æ   
   0083 77E0D56B DefFrameProcW   
   0084 77E1B973 DefMDIChildProcA   
   0085 77E0DF17 DefMDIChildProcW   
   0086 77DF4ABC DefWindowProcA   
   0087 77DF52C6 DefWindowProcW   
   0088 77DFE063 DeferWindowPos   
   0089 77DFC0F6 DeleteMenu   
   008A 77E2CD18 DeregisterShellHookWindow   
   008B 77E011CA DestroyAcceleratorTable   
   008C 77DFE0D2 DestroyCaret   
   008D 77DF75C9 DestroyCursor   
   008E 77DF75C9 DestroyIcon   
   008F 77E01B2D DestroyMenu   
   0090 77DF6506 DestroyWindow   
   0091 77DF27B5 DeviceEventWorker   
   0092 77E1B46C DialogBoxIndirectParamA   
   0093 77E1559E DialogBoxIndirectParamAorW   
   0094 77DFEC16 DialogBoxIndirectParamW   
   0095 77E053E7 DialogBoxParamA   
   0096 77E19F87 DialogBoxParamW   
   0097 77DF5729 DispatchMessageA   
   0098 77DF3E47 DispatchMessageW   
   0099 77E37178 DlgDirListA   
   009A 77E2DE92 DlgDirListComboBoxA   
   009B 77E2DF18 DlgDirListComboBoxW   
   009C 77E371FF DlgDirListW   
   009D 77E2DDEA DlgDirSelectComboBoxExA   
   009E 77E2DE43 DlgDirSelectComboBoxExW   
   009F 77E37364 DlgDirSelectExA   
   00A0 77E373C3 DlgDirSelectExW   
   00A1 77E3EE75 DragDetect   
   00A2 77E3EE83 DragObject   
   00A3 77E3EE91 DrawAnimatedRects   
   00A4 77E39B90 DrawCaption   
   00A5 77E3E07B DrawCaptionTempA   
   00A6 77DF74A5 DrawCaptionTempW   
   00A7 77DF71F2 DrawEdge   
   00A8 77DF8547 DrawFocusRect   
   00A9 77E13B97 DrawFrame   
   00AA 77DF8567 DrawFrameControl   
   00AB 77DFF6A3 DrawIcon   
   00AC 77DF9CF8 DrawIconEx   
   00AD 77E23400 DrawMenuBar   
   00AE 77E387CE DrawMenuBarTemp   
   00AF 77E1B69E DrawStateA   
   00B0 77DFA4F1 DrawStateW   
   00B1 77DFEECC DrawTextA   
   00B2 77DFEE2A DrawTextExA   
   00B3 77E16874 DrawTextExW   
   00B4 77E0D649 DrawTextW   
   00B5 77E021C5 EditWndProc   
   00B6 77E11B87 EmptyClipboard   
   00B7 77E01A29 EnableMenuItem   
   00B8 77DFEF0B EnableScrollBar   
   00B9 77DFDC16 EnableWindow   
   00BA 77DFE02E EndDeferWindowPos   
   00BB 77E155D5 EndDialog   
   00BC 77E3EEBB EndMenu   
   00BD 77DF63AD EndPaint   
   00BE 77E2FAEF EndTask   
   00BF 77DFE306 EnumChildWindows   
   00C0 77E0124B EnumClipboardFormats   
   00C1 77E1C1C5 EnumDesktopWindows   
   00C2 77E1C316 EnumDesktopsA   
   00C3 77E0A556 EnumDesktopsW   
   00C4 77E1CB9E EnumDisplayDevicesA   
   00C5 77E2F853 EnumDisplayDevicesW   


